Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.02576	leaf-3	0	10	FullDelay	0.00576	5760	1	2
1.03288	leaf-4	0	10	LastDelay	0.00288	2880	1	2
1.03288	leaf-4	0	10	FullDelay	0.00288	2880	1	2
1.10288	leaf-1	0	10	LastDelay	0.00288	2880	1	2
1.10288	leaf-1	0	10	FullDelay	0.00288	2880	1	2
1.11576	leaf-2	0	11	LastDelay	0.00576	5760	1	2
1.11576	leaf-2	0	11	FullDelay	0.00576	5760	1	2
1.12576	leaf-3	0	11	LastDelay	0.00576	5760	1	2
1.12576	leaf-3	0	11	FullDelay	0.00576	5760	1	2
1.13288	leaf-4	0	11	LastDelay	0.00288	2880	1	2
1.13288	leaf-4	0	11	FullDelay	0.00288	2880	1	2
1.20288	leaf-1	0	11	LastDelay	0.00288	2880	1	2
1.20288	leaf-1	0	11	FullDelay	0.00288	2880	1	2
1.21576	leaf-2	0	12	LastDelay	0.00576	5760	1	2
1.21576	leaf-2	0	12	FullDelay	0.00576	5760	1	2
1.22576	leaf-3	0	12	LastDelay	0.00576	5760	1	2
1.22576	leaf-3	0	12	FullDelay	0.00576	5760	1	2
1.23288	leaf-4	0	12	LastDelay	0.00288	2880	1	2
1.23288	leaf-4	0	12	FullDelay	0.00288	2880	1	2
1.30288	leaf-1	0	12	LastDelay	0.00288	2880	1	2
1.30288	leaf-1	0	12	FullDelay	0.00288	2880	1	2
1.31576	leaf-2	0	13	LastDelay	0.00576	5760	1	2
1.31576	leaf-2	0	13	FullDelay	0.00576	5760	1	2
1.32576	leaf-3	0	13	LastDelay	0.00576	5760	1	2
1.32576	leaf-3	0	13	FullDelay	0.00576	5760	1	2
1.33288	leaf-4	0	13	LastDelay	0.00288	2880	1	2
1.33288	leaf-4	0	13	FullDelay	0.00288	2880	1	2
1.40288	leaf-1	0	13	LastDelay	0.00288	2880	1	2
1.40288	leaf-1	0	13	FullDelay	0.00288	2880	1	2
1.41576	leaf-2	0	14	LastDelay	0.00576	5760	1	2
1.41576	leaf-2	0	14	FullDelay	0.00576	5760	1	2
1.42576	leaf-3	0	14	LastDelay	0.00576	5760	1	2
1.42576	leaf-3	0	14	FullDelay	0.00576	5760	1	2
1.43288	leaf-4	0	14	LastDelay	0.00288	2880	1	2
